last_name, first_name,player_id,year,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyweak_percent,hard_hit_percent
Cabrera, Miguel,408234,2021,526,121,90,16,0,15,118,40,22.4,0.256,0.234,0.42,0.315,0.301,0.186,91.4,10,32.8,30,8.3,8.5,22.9,3.3,49
Cruz Jr., Nelson,443558,2021,584,136,82,21,1,32,126,51,21.6,0.265,0.265,0.514,0.364,0.341,0.249,92.9,11.8,31.8,54,13.6,8.1,19.7,3,52.5
Peralta, David,444482,2021,538,126,80,30,8,8,92,46,17.1,0.259,0.243,0.345,0.293,0.313,0.103,89.3,5.3,27.2,20,5,4.5,24.2,3.3,41.8
Blackmon, Charlie,453568,2021,582,139,97,25,4,13,91,54,15.6,0.27,0.292,0.457,0.361,0.37,0.165,87.6,10.2,32.6,30,7,3.5,29.8,4.7,38.5
McCutchen, Andrew,457705,2021,574,107,55,24,1,27,132,81,23,0.222,0.24,0.431,0.344,0.352,0.191,88.8,14.6,33.6,32,9,8.4,21.8,3.9,39.5
Turner, Justin,457759,2021,612,148,99,22,0,27,98,61,16,0.278,0.27,0.47,0.359,0.358,0.199,90.9,19.2,36.5,35,7.9,8.6,27.2,1.1,42.4
Votto, Joey,458015,2021,533,119,59,23,1,36,127,77,23.8,0.266,0.274,0.592,0.406,0.383,0.318,92.9,18.2,44.3,56,17.2,9.2,23.7,1.2,53.2
Andrus, Elvis,462101,2021,541,121,91,25,2,3,81,31,15,0.243,0.273,0.375,0.308,0.324,0.102,87.8,8.1,34,9,2.1,5.9,30.3,4.5,34.8
Santana, Carlos,467793,2021,659,121,87,15,0,19,102,86,15.5,0.214,0.244,0.422,0.335,0.345,0.178,89.9,12.9,28,32,6.8,7.1,22.4,3.2,41.9
Lowrie, Jed,476704,2021,512,112,70,28,0,14,108,49,21.1,0.245,0.259,0.465,0.344,0.332,0.206,90.7,16.4,36.5,33,9.3,9.6,23.8,1.4,45.9
Brantley Jr., Michael,488726,2021,508,146,106,29,3,8,53,33,10.4,0.311,0.312,0.466,0.361,0.365,0.154,89.5,9.9,38.8,24,5.8,6.2,31.4,3.4,42.9
